id,action,status,old_contam,new_contam,old_overlap,new_overlap,attempt_used,date,url,old_len,new_len,reviewer_note
vorc0h,resummarize,changed,0,0,0.100,0.100,3,2026-05-08,https://crypto.news/ondo-price-breaks-0-30-resistance-amid-rwa-growth-can-it-revisit-january-highs/,563,679,summary contains an incomplete sentence that should either be removed or regenerated
vuzuso,keep,kept,0,0,0.000,0.000,0,2026-05-07,https://crypto.news/sofi-made-121m-in-crypto-but-kept-almost-none/,156,156,
o5ifws,remove,removed,,,,,,2026-05-08,https://crypto.news/coinbase-perps-shake-up-hits-kaito-cake-vet-and-more/,,,
migini,remove,removed,,,,,,2026-05-11,https://www.coindesk.com/markets/2026/05/11/new-fed-chair-base-s-azul-upgrade-corporate-earnings-crypto-week-ahead,,,
ptkja6,keep,kept,0,0,0.167,0.167,0,2026-05-03,https://crypto.news/crypto-market-recap-what-happened-today-5/,756,756,
afw2y4,resummarize,changed,0,0,0.167,0.333,1,2026-05-06,https://coingeek.com/uk-sets-new-rules-for-fund-tokenization-under-current-regulations/,758,677,summary contains an incomplete sentence that should either be removed or regenerated
lx2hoo,keep,kept,0,0,0.125,0.125,0,2026-05-06,https://crypto.news/rootdata-maps-30-hyperliquid-web3-partners-as-it-builds-an-on-chain-liquidity-os/,220,220,
hw609q,keep,kept,0,0,0.000,0.000,0,2026-05-06,https://www.chainalysis.com/blog/blockchain-infrastructure-tradfi-tokenization/,502,502,
7ttins,keep,kept,0,0,0.143,0.143,0,2026-05-07,https://www.finextra.com/pressarticle/109768/squads-raises-18m-to-build-stablecoin-operating-system,255,255,
6oi25l,resummarize,changed,0,0,0.100,0.200,2,2026-05-08,https://crypto.news/sanders-calls-for-fed-rate-cuts-as-crypto-watches-policy-rift-widen/,529,539,summary contains an incomplete sentence that should either be removed or regenerated
rvwy8x,resummarize,changed,0,0,0.100,0.600,1,2026-05-08,https://crypto.news/metas-usdc-pilot-draws-fire-as-senator-warren-demands-stablecoin-transparency/,277,650,
9m12bv,resummarize,changed,0,0,0.100,0.600,1,2026-05-08,https://www.coindesk.com/policy/2026/05/08/kraken-parent-goes-for-the-occ-charter-in-big-to-become-a-federal-crypto-bank,555,612,
8dcfhl,resummarize,changed,0,0,0.154,0.692,1,2026-05-08,https://www.fintechwrapup.com/p/the-real-reason-cross-border-payments,248,769,
9sbtlm,keep,kept,0,0,0.000,0.000,0,2026-05-09,https://crypto.news/jpmorgan-makes-ai-core-infrastructure-spending/,236,236,
7veomj,resummarize,changed,0,0,0.538,0.538,1,2026-05-02,https://www.esma.europa.eu/press-news/esma-news/joint-committee-annual-report-highlights-digitalisation-cyber-resilience-and,580,704,summary contains an incomplete sentence that should either be removed or regenerated
hy18e5,resummarize,changed,0,0,0.750,0.750,1,2026-05-02,https://www.esma.europa.eu/press-news/esma-news/esma-launches-call-evidence-structure-european-equity-markets,693,629,summary contains an incomplete sentence that should either be removed or regenerated
kbm4rl,remove,removed,,,,,,2026-05-04,https://coingeek.com/prediction-markets-under-fire-as-insiders-game-the-system/,,,
6c6h7j,resummarize,unchanged,0,0,0.625,0.625,0,2026-05-04,https://crypto.news/bitget-cfd-daily-volume-hits-record-8b-on-gold-surge/,726,726,summary contains an incomplete sentence that should either be removed or regenerated
b9jz4e,resummarize,changed,0,0,0.571,0.571,1,2026-05-04,https://crypto.news/coinbase-urges-cftc-to-keep-prediction-markets-under-rules/,564,543,summary contains an incomplete sentence that should either be removed or regenerated
kuyah8,resummarize,changed,0,0,0.429,0.571,1,2026-05-04,https://www.esma.europa.eu/press-news/esma-news/esma-advances-simplification-eu-reporting-frameworks-funds-and-transactions,491,488,summary contains an incomplete sentence that should either be removed or regenerated
7sabuz,resummarize,changed,0,0,0.600,0.600,1,2026-05-05,https://crypto.news/moscow-exchange-bets-bigger-on-crypto-with-sol-xrp-trx-and-bnb-indexes/,739,761,summary contains an incomplete sentence that should either be removed or regenerated
ggmwpl,resummarize,changed,0,0,0.429,0.714,1,2026-05-05,https://www.bis.org/review/r260504c.htm,615,633,summary contains an incomplete sentence that should either be removed or regenerated
pxflp5,resummarize,changed,0,0,0.500,0.625,1,2026-05-05,https://www.bis.org/review/r260505a.htm,637,663,summary contains an incomplete sentence that should either be removed or regenerated
fw24ie,resummarize,changed,0,0,0.333,0.417,1,2026-05-05,https://www.coindesk.com/business/2026/05/05/different-voices-in-product-policy-and-hiring-change-crypto-outcomes-panelists-tell-consensus-miami,543,788,summary contains an incomplete sentence that should either be removed or regenerated
u0ty6v,resummarize,unchanged,0,0,0.667,0.667,0,2026-05-06,https://crypto.news/kelp-dao-moves-rseth-to-chainlink-ccip-as-layerzero-dispute-grows/,608,608,summary contains an incomplete sentence that should either be removed or regenerated
e6x5eo,resummarize,changed,0,0,0.700,0.700,1,2026-05-06,https://www.coindesk.com/policy/2026/05/06/crypto-custody-firm-taurus-granted-mifid-license-in-cyprus,783,537,summary contains an incomplete sentence that should either be removed or regenerated
nucl4i,resummarize,changed,0,0,0.300,0.400,1,2026-05-06,https://www.coindesk.com/business/2026/05/06/blockchain-com-launches-snapmarkets-as-prediction-markets-move-into-faster-crypto-bets,575,789,summary contains an incomplete sentence that should either be removed or regenerated
x7v52t,resummarize,changed,0,0,0.444,0.444,1,2026-05-06,https://www.coindesk.com/policy/2026/05/06/nasdaq-s-president-says-the-sec-s-new-crypto-stance-is-letting-markets-build-again,576,797,summary contains an incomplete sentence that should either be removed or regenerated
4i6asx,resummarize,changed,0,0,0.750,0.750,1,2026-05-07,https://crypto.news/swiss-bank-amina-brings-canton-coin-into-regulated-finance/,660,701,summary contains an incomplete sentence that should either be removed or regenerated
b873y2,resummarize,changed,0,0,0.375,0.375,1,2026-05-07,https://www.chainalysis.com/blog/crypto-prediction-markets/,554,600,summary contains an incomplete sentence that should either be removed or regenerated
iw2r6l,resummarize,unchanged,0,0,0.714,0.714,0,2026-05-07,https://www.finextra.com/pressarticle/109766/mastercard-and-yellow-card-target-stablecoin-payments-in-eemea,349,349,summary contains an incomplete sentence that should either be removed or regenerated
kv6awm,resummarize,unchanged,0,0,0.444,0.444,0,2026-05-07,https://www.theblock.co/post/400436/crypto-etf-boom-continues-with-debut-of-first-fund-to-track-canton,669,669,summary contains an incomplete sentence that should either be removed or regenerated
1qcu1g,resummarize,changed,0,0,0.500,0.500,1,2026-05-08,https://crypto.news/leading-trends-in-the-uk-currency-and-cryptocurrency-markets-in-2026/,645,732,summary contains an incomplete sentence that should either be removed or regenerated
2pzyrn,resummarize,changed,0,0,0.600,0.600,1,2026-05-08,https://crypto.news/nagel-warns-iran-war-is-fueling-inflation-risks-as-ecb-stays-on-alert/,784,786,summary contains an incomplete sentence that should either be removed or regenerated
5tjwsn,resummarize,changed,0,0,0.300,0.400,1,2026-05-08,https://crypto.news/coinbase-push-senate-to-loosen-manipulation-test-for-small-cap-token-listings/,735,608,summary contains an incomplete sentence that should either be removed or regenerated
i2gy9y,resummarize,changed,0,0,0.750,0.750,1,2026-05-08,https://crypto.news/21shares-tcan-etf-brings-canton-network-exposure-to-u-s-investors/,544,634,summary contains an incomplete sentence that should either be removed or regenerated
645ruw,resummarize,changed,0,0,0.417,0.417,1,2026-05-08,https://www.coindesk.com/business/2026/05/08/ecb-s-lagarde-warns-tether-and-circle-stablecoins-risk-digital-dollarisation-in-europe,625,674,summary contains an incomplete sentence that should either be removed or regenerated
ukl45r,resummarize,changed,0,0,0.500,0.750,1,2026-05-08,https://www.coindesk.com/markets/2026/05/08/coinbase-bulls-point-to-crypto-legislation-and-stablecoins-after-earnings-miss,585,702,summary contains an incomplete sentence that should either be removed or regenerated
1rt2oq,keep,kept,0,0,0.625,0.625,0,2026-05-08,https://www.finextra.com/pressarticle/109771/unlimit-partners-with-decentro-to-boost-cross-border-payments-in-india,260,260,
