id,idx,date,domain,confidence,score,reasons,desc_len,url,initiative,description_head,priority,recommended_action
iw2r6l,72,2026-05-07,www.finextra.com,medium,4,site_nav,349,https://www.finextra.com/pressarticle/109766/mastercard-and-yellow-card-target-stablecoin-payments-in-eemea,Mastercard and Yellow Card target stablecoin payments in EEMEA,"Mastercard and Yellow Card, a licensed stablecoin infrastructure provider operating primarily across Africa, with additional capabilities in select emerging markets, have announced a strategic partnership to accelerate stablecoin-enabled payment innovation across Eastern Europe, the Middle East, and",P1_contamination_residual,review_and_resummarize
1rt2oq,28,2026-05-08,www.finextra.com,medium,4,site_nav,260,https://www.finextra.com/pressarticle/109771/unlimit-partners-with-decentro-to-boost-cross-border-payments-in-india,Unlimit partners with Decentro to boost cross-border payments in India,"Unlimit, the global financial infrastructure platform, today announced that Decentro, India’s leading fintech enabler, has integrated the platform’s universal operating layer to extend its cross-border payment capabilities into new markets and payment methods.",P1_contamination_residual,review_and_resummarize
7i7pmk,237,2026-05-04,www.theblock.co,medium,6,title_overlap_too_low|too_short_180,125,https://www.theblock.co/post/399880/krakens-parent-company-alleges-custodian-etana-misappropriated-25-million,Kraken’s parent company alleges custodian Etana misappropriated $25 million,"Etana is accused of operating a ""Ponzi-like enterprise"" the resulted in using capital to fund expenses and risky investments.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
vojv35,240,2026-05-04,www.theblock.co,medium,6,title_overlap_too_low|too_short_180,137,https://www.theblock.co/post/399878/stablecoin-startup-rain-joins-mastercard-as-a-principal-member,Stablecoin startup Rain joins Mastercard as a Principal Member,"Rain, which was valued at $1.95 billion during a Series C round announced in January, has an existing relationship with card issuer Visa.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
kmf5nw,232,2026-05-04,www.coindesk.com,medium,5,title_overlap_too_low,548,https://www.coindesk.com/business/2026/05/04/shopify-and-national-bank-of-canada-are-among-backers-of-a-new-digital-currency-built-to-settle-trades-24-7,Shopify and National Bank of Canada are among backers of a new digital currency built to settle trades 24/7,"Tetra Trust Company, a regulated Canadian digital asset custodian, has launched CADD, a Canadian-dollar-pegged stablecoin issued under approval from the Alberta Treasury Board and Finance, making it the first CAD stablecoin from a provincially regulated financial institution. The token is currently ",P2_semantic_mismatch_check,manual_validate_title_vs_summary
1n1ool,198,2026-05-05,coingeek.com,medium,5,title_overlap_too_low,195,https://coingeek.com/tether-begins-first-stablecoin-audit-as-lutnick-loan-scrutiny-mounts/,Tether begins first stablecoin audit as Lutnick loan scrutiny mounts,"Ardoino noted that USDT’s market cap has grown by $6 billion since the end of March, “reflecting sustained demand” in the token that plays a dominant role in digital asset exchange trading pairs.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
vksvnr,158,2026-05-05,www.coindesk.com,medium,5,title_overlap_too_low,677,https://www.coindesk.com/business/2026/05/05/it-s-transparency-not-tech-alone-that-drives-crypto-adoption-panelists-tell-consensus-miami,"It's transparency, not tech alone, that drives crypto adoption, panelists tell Consensus Miami","And I think you do that best by talking to your customers and your prospects and really figuring out what's making their heart beat,"" she said, citing earlier remarks from a former Mastercard CMO that traditional market research is now only ""23% accurate."" In a closing lightning round, Lanka predict",P2_semantic_mismatch_check,manual_validate_title_vs_summary
gqu1kc,117,2026-05-06,www.ledgerinsights.com,medium,6,title_overlap_too_low|too_short_180,151,https://www.ledgerinsights.com/nyse-okx-securitze-discuss-tokenizing-stocks-the-right-way-versus-synthetically/,"NYSE, OKX, Securitze discuss tokenizing stocks “the right way” versus synthetically","Yesterday during a Consensus panel, the topic of synthetic tokenized stocks was discussed, with Securitize CEO Carlos Domingo pushing back hard against",P2_semantic_mismatch_check,manual_validate_title_vs_summary
jz6xf,153,2026-05-06,coingeek.com,medium,6,title_overlap_too_low|too_short_180,175,https://coingeek.com/cybersecurity-strains-grow-as-ai-challenges-australian-banks/,Cybersecurity strains grow as AI challenges Australian banks,"Despite increasing awareness about the evolving risk landscape, the financial regulator said many of these banking institutions are still adapting their internal capabilities.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
tzweh1,112,2026-05-06,crypto.news,medium,6,title_overlap_too_low|too_short_180,160,https://crypto.news/erik-reppel-says-ai-agents-will-kill-online-ads/,Why Erik Reppel says AI agents end internet ads,"He argued that x402, a Coinbase-backed protocol for stablecoin micropayments, could replace advertising as the primary way web content is monetised by software.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
dygbxx,141,2026-05-06,crypto.news,medium,5,title_overlap_too_low,198,https://crypto.news/anchorage-digital-launches-ai-banking-for-autonomous-payments/,Anchorage Digital launches AI banking for autonomous payments,"In March, the bank took a strategic stake in Immunefi and acquired its IMU token, linking regulated custody services with on-chain security programs aimed at reducing smart contract vulnerabilities.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
fcagxm,120,2026-05-06,www.theblock.co,medium,5,title_overlap_too_low,516,https://www.theblock.co/post/400281/ripple-jpmorgan-xrp-ledger-transfer-tokenized-treasury-across-borders,"Ripple, JPMorgan and others use XRP Ledger to cash out tokenized Treasurys fund internationally","""For the first time, a public blockchain and global banking infrastructure settled a cross-border transaction of a tokenized fund together in real time."" The pilot transaction represents another example of crypto firms, payments companies and Wall Street institutions coming together to explore faste",P2_semantic_mismatch_check,manual_validate_title_vs_summary
hw609q,107,2026-05-06,www.chainalysis.com,medium,5,title_overlap_too_low,502,https://www.chainalysis.com/blog/blockchain-infrastructure-tradfi-tokenization/,Where to Build: A Data-Driven Guide to Blockchain Infrastructure for TradFi Tokenization,"Ethereum and its Layer-2 (L2) networks like Arbitrum and Base currently offer the strongest combination of institutional liquidity, low illicit exposure, and compliance tooling, making them a natural home for regulated assets like tokenized securities and money market funds. It possesses massive ins",P2_semantic_mismatch_check,manual_validate_title_vs_summary
lx2hoo,138,2026-05-06,crypto.news,medium,5,title_overlap_too_low,220,https://crypto.news/rootdata-maps-30-hyperliquid-web3-partners-as-it-builds-an-on-chain-liquidity-os/,RootData maps 30 Hyperliquid Web3 partners as it builds an on-chain liquidity OS,"Custodians such as Anchorage Digital, BitGo, and Fireblocks, plus trading firms and exchanges like Bybit, trade.xyz, and IMC Trading, are helping plug larger institutional capital and market‑making into Hyperliquid’s L1.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
vuzuso,81,2026-05-07,crypto.news,medium,6,title_overlap_too_low|too_short_180,156,https://crypto.news/sofi-made-121m-in-crypto-but-kept-almost-none/,"SoFi’s crypto relaunch earns $121m, keeps $852k","The bank launched SoFiUSD in December and partnered with Mastercard for settlement, but the GENIUS Act may force a structural change to the stablecoin unit.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
7ttins,71,2026-05-07,www.finextra.com,medium,5,title_overlap_too_low,255,https://www.finextra.com/pressarticle/109768/squads-raises-18m-to-build-stablecoin-operating-system,Squads raises $18m to build stablecoin operating system,"Squads today announced an $18 million strategic round led by Solana Ventures, with participation from Coinbase Ventures, Haun Ventures, L1D, Collab+Currency, Electric Capital, Placeholder, Jump Crypto, and Robot Ventures, bringing total funding to $42.9M.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
o5ifws,63,2026-05-08,crypto.news,medium,6,title_overlap_too_low|too_short_180,118,https://crypto.news/coinbase-perps-shake-up-hits-kaito-cake-vet-and-more/,"Coinbase perps shake-up hits KAITO, CAKE, VET and more","The affected tokens span several market areas, including AI, DeFi, gaming, infrastructure, and older layer-1 networks.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
8dcfhl,61,2026-05-08,www.fintechwrapup.com,medium,5,title_overlap_too_low,248,https://www.fintechwrapup.com/p/the-real-reason-cross-border-payments,"The real reason cross-border payments stay expensive - David Messenger (CEO of Global Businesses, Pingpong Payments)",We explore how global payments infrastructure is evolving beyond simple money movement into… Listen to this episode with a 7-day free trial Subscribe to Fintech Wrap Up to listen to this post and get 7 days of free access to the full post archives.,P2_semantic_mismatch_check,manual_validate_title_vs_summary
9m12bv,39,2026-05-08,www.coindesk.com,medium,5,title_overlap_too_low,555,https://www.coindesk.com/policy/2026/05/08/kraken-parent-goes-for-the-occ-charter-in-big-to-become-a-federal-crypto-bank,Kraken parent goes for the OCC charter in bid to become a federal crypto bank,"This week, the company also struck a $600 million deal to buy Hong Kong-based payments firm Reap Technologies , expanding Kraken’s push into stablecoin-powered cross-border payments and card infrastructure in Asia The proposed trust company would complement Kraken Financial, the Wyoming special purp",P2_semantic_mismatch_check,manual_validate_title_vs_summary
rvwy8x,34,2026-05-08,crypto.news,medium,5,title_overlap_too_low,277,https://crypto.news/metas-usdc-pilot-draws-fire-as-senator-warren-demands-stablecoin-transparency/,Meta’s USDC pilot draws fire as Senator Warren demands stablecoin transparency,"crypto.news That deal cleared a major hurdle for the sweeping digital asset market structure bill, which aims to create a federal regime for exchanges, token classification and stablecoin oversight and is now headed for a Banking Committee markup as soon as the week of May 11.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
9sbtlm,21,2026-05-09,crypto.news,medium,5,title_overlap_too_low,236,https://crypto.news/jpmorgan-makes-ai-core-infrastructure-spending/,Why JPMorgan AI is no longer an experiment,"The bank has also launched its JPMD deposit token on public blockchain infrastructure, with its proprietary AI now managing JPMD flows and predicting when institutional clients will need liquidity before human traders identify the need.",P2_semantic_mismatch_check,manual_validate_title_vs_summary
migini,4,2026-05-11,www.coindesk.com,medium,6,title_overlap_too_low|too_short_180,91,https://www.coindesk.com/markets/2026/05/11/new-fed-chair-base-s-azul-upgrade-corporate-earnings-crypto-week-ahead,"New Fed chair, Base's Azul upgrade, corporate earnings: Crypto Week Ahead",Senate Banking Committee markup scheduled for the Digital Asset Market Clarity Act of 2025.,P2_semantic_mismatch_check,manual_validate_title_vs_summary
9qeeav,270,2026-05-02,www.theblock.co,low,1,too_short_180,150,https://www.theblock.co/post/399812/blackrock-urges-occ-to-drop-tokenized-reserve-cap-idea-expand-eligible-assets-in-genius-act-comment-letter,"BlackRock urges OCC to drop tokenized reserve cap idea, expand eligible assets in GENIUS Act comment letter","The world's largest asset manager opposed a potential 20% cap on tokenized reserve assets, a constraint that would limit products like its BUIDL fund.",P3_short_summary_optional,optional_expand_if_material
kvjvmr,279,2026-05-02,www.theblock.co,low,1,too_short_180,131,https://www.theblock.co/post/399780/coinbase-says-deal-reached-on-clarity-act-stablecoin-yield-clearing-path-to-long-stalled-senate-markup,"Coinbase says deal reached on Clarity Act stablecoin yield, clearing path to long-stalled Senate markup","Coinbase CEO Brian Armstrong urged the Senate Banking Committee to ""mark it up"" as a months-long stalemate appears to be at an end.",P3_short_summary_optional,optional_expand_if_material
6rsrpr,263,2026-05-03,www.theblock.co,low,1,too_short_180,154,https://www.theblock.co/post/399825/new-york-ag-settles-for-5-million-with-uphold-in-first-enforcement-action-against-a-crypto-yield-product-promoter,New York AG settles for $5 million with Uphold in first enforcement action against a crypto yield product promoter,The settlement is the first New York enforcement action to target a platform that promoted someone else's crypto yield product rather than its own issuer.,P3_short_summary_optional,optional_expand_if_material
1j7u52,228,2026-05-04,www.ledgerinsights.com,low,1,too_short_180,147,https://www.ledgerinsights.com/dtcc-shares-tokenization-launch-date-50-firms-join-industry-working-group/,DTCC shares tokenization launch date. 50 firms join Industry Working Group,"The Depository Trust & Clearing Corporation (DTCC) has announced the launch timescale for its tokenization solution, with limited live transactions",P3_short_summary_optional,optional_expand_if_material
4h9r1z,220,2026-05-04,www.theblock.co,low,1,too_short_180,132,https://www.theblock.co/post/399966/bank-trade-groups-stablecoin-reward,Bank trade groups say Senate stablecoin reward fix ‘falls short’ amid deposit protection concerns,Major banking trade groups said a proposed fix to a key sticking point in passing crypto market structure legislation 'falls short.',P3_short_summary_optional,optional_expand_if_material
h9kcld,238,2026-05-04,www.theblock.co,low,1,too_short_180,139,https://www.theblock.co/post/399895/finra-green-lights-securitize-for-tokenized-ipo-underwriting-and-custody,FINRA green lights Securitize for tokenized IPO underwriting and custody,Securitize is the first firm to receive FINRA approval to custody tokenized securities and underwrite onchain IPOs and secondary offerings.,P3_short_summary_optional,optional_expand_if_material
n3sszh,233,2026-05-04,www.theblock.co,low,1,too_short_180,142,https://www.theblock.co/post/399914/dtc-to-begin-tokenized-asset-rollout-in-july-ahead-of-full-launch-as-it-gets-feedback-from-blackrock-circle-and-others,"DTC to begin tokenized asset rollout in July ahead of full launch as it gets feedback from BlackRock, Circle and others",The Depository Trust & Clearing Corporation will roll out its tokenization service as it gathers feedback from firms like BlackRock to Circle.,P3_short_summary_optional,optional_expand_if_material
o6w43d,219,2026-05-04,www.theblock.co,low,1,too_short_180,117,https://www.theblock.co/post/399973/crypto-stocks-rally-circle-jumps,Crypto stocks rally amid Clarity Act momentum; Circle jumps nearly 20%,Sens. Alsobrooks and Tillis finalized a compromise Friday on language governing stablecoin yields in the Clarity Act.,P3_short_summary_optional,optional_expand_if_material
p87v4w,229,2026-05-04,www.theblock.co,low,1,too_short_180,139,https://www.theblock.co/post/399935/south-koreas-largest-crypto-exchange-upbit-launches-ethereum-blockchain-with-optimism-foundation-support,South Korea’s largest crypto exchange Upbit launches Ethereum blockchain with Optimism Foundation support,"Upbit is the Optimism Foundation's first client on its ""self-managed"" enterprise tier, giving it control over its core rollup architecture.",P3_short_summary_optional,optional_expand_if_material
prxy1r,242,2026-05-04,www.ledgerinsights.com,low,1,too_short_180,140,https://www.ledgerinsights.com/brazil-imposes-partial-ban-on-stablecoins-crypto-for-cross-border-payments-and-fx/,"Brazil imposes partial ban on stablecoins, crypto for cross border payments and FX",Brazil's central bank has banned fintech and payment provider cross border services from using stablecoins or crypto to settle with overseas,P3_short_summary_optional,optional_expand_if_material
t7512e,224,2026-05-04,www.ledgerinsights.com,low,1,too_short_180,154,https://www.ledgerinsights.com/latest-finra-okay-means-securitize-becomes-tokenized-securities-one-stop-shop/,Latest FINRA okay means Securitize becomes tokenized securities one stop shop,FINRA has granted the tokenization firm Securitize approval to custody tokenized securities as part of its regular broker dealer authorization. Securitize,P3_short_summary_optional,optional_expand_if_material
uit8xh,236,2026-05-04,www.theblock.co,low,1,too_short_180,120,https://www.theblock.co/post/399890/western-union-launches-usdpt-stablecoin-anchorage-solana,Western Union launches USDPT stablecoin issued by Anchorage on Solana,"Western Union launched a dollar stablecoin on Solana for 24/7 settlement across 200+ countries, the company said Monday.",P3_short_summary_optional,optional_expand_if_material
dwbs4d,169,2026-05-05,www.theblock.co,low,1,too_short_180,100,https://www.theblock.co/post/400098/sofi-to-launch-its-stablecoin-on-solana-citing-speed-and-cost,"SoFi to launch its stablecoin on Solana, citing speed and cost","SoFiUSD is a fully reserved U.S. dollar stablecoin issued by SoFi Bank, a nationally chartered bank.",P3_short_summary_optional,optional_expand_if_material
ib06d7,191,2026-05-05,www.theblock.co,low,1,too_short_180,141,https://www.theblock.co/post/400051/securitize-taps-jump-and-jupiter-as-it-rolls-out-fully-onchain-regulated-onchain-stocks,"Securitize taps Jump and Jupiter as it rolls out fully onchain, regulated onchain stocks","Jump will provide institutional liquidity via its PropAMM, while Solana DeFi aggregator Jupiter will support retail and institutional access.",P3_short_summary_optional,optional_expand_if_material
llurdz,199,2026-05-05,www.theblock.co,low,1,too_short_180,140,https://www.theblock.co/post/400001/bank-of-italy-tokenized-sepa,Bank of Italy calls for EU to explore tokenized SEPA payments,"Bank of Italy's Chiara Scotti said the EU should explore a tokenized extension of its payments system as tokenization grows more ""relevant.""",P3_short_summary_optional,optional_expand_if_material
n89p6s,163,2026-05-05,www.ledgerinsights.com,low,1,too_short_180,153,https://www.ledgerinsights.com/securitize-taps-jump-as-market-maker-for-trading-tokenized-stocks-on-ats/,Securitize taps Jump as market maker for trading tokenized stocks on ATS,"Securitize, the company best known for tokenizing BlackRock's BUIDL money market fund, is gradually announcing the building blocks of its tokenized stock",P3_short_summary_optional,optional_expand_if_material
pysho9,179,2026-05-05,www.theblock.co,low,1,too_short_180,131,https://www.theblock.co/post/400068/moneygram-supports-crypto-to-cash-withdrawals-kraken-users,MoneyGram supports crypto-to-cash withdrawals for Kraken users,The firms plan to expand this partnership beyond cash withdrawals to support local bank deposits and cross-border remittance flows.,P3_short_summary_optional,optional_expand_if_material
q5euy5,173,2026-05-05,www.theblock.co,low,1,too_short_180,121,https://www.theblock.co/post/400086/state-street-and-galaxy-launch-fund-on-solana-designed-to-sweep-stablecoins-into-productive-vehicle,State Street and Galaxy launch fund on Solana designed to ‘sweep’ stablecoins into productive vehicle,The State Street Galaxy Onchain Liquidity Sweep Fund lets investors push stablecoins into a yield-bearing tokenized fund.,P3_short_summary_optional,optional_expand_if_material
t2bz9d,192,2026-05-05,www.theblock.co,low,1,too_short_180,124,https://www.theblock.co/post/399963/coinbase-figure-investment-centrifuge-base-main-tokenization-partner,"Coinbase doubles down on Centrifuge investment, taps platform as Base’s main tokenization partner","Centrifuge will be the go-to platform for launching tokenized assets on Base, the Ethereum blockchain incubated by Coinbase.",P3_short_summary_optional,optional_expand_if_material
9rd67b,133,2026-05-06,www.ledgerinsights.com,low,1,too_short_180,151,https://www.ledgerinsights.com/dlt-collateral-mobility-platform-hqla%e1%b5%a1-gets-sec-no-action-letter-for-us-activity/,DLT collateral mobility platform HQLAᵡ gets SEC no action letter for US activity,"HQLAᵡ, the DLT collateral mobility platform, can operate in the US under a no action letter received from the Securities and Exchange Commission (SEC).",P3_short_summary_optional,optional_expand_if_material
dp524r,108,2026-05-06,ondo.finance,low,1,too_short_180,147,https://ondo.finance/blog/ondo-jpmorgan-mastercard-ripple-tokenization,"Ondo, Kinexys by J.P. Morgan, Mastercard, and Ripple Complete First Cross-Border, Cross-Bank Redemption of Tokenized U.S. Treasuries","Ondo, Kinexys by J.P. Morgan, Mastercard, and Ripple Complete First Cross-Border, Cross-Bank Redemption of Tokenized U.S. Treasuries | Ondo Finance",P3_short_summary_optional,optional_expand_if_material
j41cp3,123,2026-05-06,www.ledgerinsights.com,low,1,too_short_180,152,https://www.ledgerinsights.com/six-gets-approval-to-merge-sdx-dlt-csd-into-securities-services-adds-crypto-custody/,"SIX gets approval to merge SDX DLT CSD into securities services, adds crypto custody",SIX has received approval from Swiss regulator FINMA to merge its blockchain entity SIX Digital Exchange AG (SDX) into its central securities depository,P3_short_summary_optional,optional_expand_if_material
bb8bby,93,2026-05-07,www.ledgerinsights.com,low,1,too_short_180,152,https://www.ledgerinsights.com/bny-to-launch-digital-asset-custody-in-abu-dhabi/,BNY to launch digital asset custody in Abu Dhabi,The world's largest custodian BNY plans to provide digital asset custody in the Abu Dhabi Global Market (ADGM) as part of a collaboration with Finstreet,P3_short_summary_optional,optional_expand_if_material
s3pj94,83,2026-05-07,www.ledgerinsights.com,low,1,too_short_180,152,https://www.ledgerinsights.com/dtcc-explores-l1-blockchains-for-tokenization-has-scalability-concerns/,DTCC explores L1 blockchains for tokenization. Has scalability concerns,"Yesterday at the Consensus event, DTCC CEO Frank La Salla revealed the organization is working with several L1 blockchains for its tokenization platform",P3_short_summary_optional,optional_expand_if_material
wsnab3,80,2026-05-07,www.ledgerinsights.com,low,1,too_short_180,152,https://www.ledgerinsights.com/kraken-parent-payward-to-buy-stablecoin-payments-firm-reap-for-600m/,Kraken parent Payward to buy stablecoin payments firm Reap for $600m,"Payward, the parent of cryptocurrency exchange Kraken, has agreed to acquire Hong Kong based Reap Technologies for up to $600 million in cash and stock.",P3_short_summary_optional,optional_expand_if_material
ywm90k,70,2026-05-07,www.finextra.com,low,1,too_short_180,153,https://www.finextra.com/newsarticle/47715/top-wall-street-dealers-join-bond-trading-platform-ltx,Top Wall Street dealers join bond trading platform LTX,Five of Wall Street's top banks have joined the AI-powered LTX corporate bond e-trading platform in a bid to unlock greater liquidity in corporate bonds.,P3_short_summary_optional,optional_expand_if_material
8cwfxq,67,2026-05-08,crypto.news,low,1,too_short_180,136,https://crypto.news/u-s-scrutiny-grows-as-binance-defends-compliance-work/,U.S. scrutiny grows as Binance defends compliance work,Department of the Treasury reportedly sent Binance a private letter pressing the exchange on compliance with its 2023 settlement duties.,P3_short_summary_optional,optional_expand_if_material
q1ye6y,30,2026-05-08,www.finextra.com,low,1,too_short_180,173,https://www.finextra.com/blogposting/31658/how-financial-institutions-can-prepare-for-the-eu-amlr-2027-regulation,How Financial Institutions Can Prepare for the EU AMLR 2027 Regulation,"The European financial sector is entering a new regulatory era. On 10 July 2027, a single and direc... How Financial Institutions Can Prepare for the EU AMLR 2027 Regulation",P3_short_summary_optional,optional_expand_if_material
rsj2ze,23,2026-05-08,www.finextra.com,low,1,too_short_180,122,https://www.finextra.com/newsarticle/47723/coinbase-hit-by-7-hour-outage,Coinbase hit by 7-hour outage,Coinbase has blamed an issue at an Amazon Web Services data centre for a seven-hour outage at the cryptocurrency exchange.,P3_short_summary_optional,optional_expand_if_material
xrl2jl,32,2026-05-08,www.finextra.com,low,1,too_short_180,124,https://www.finextra.com/blogposting/31652/demystifying-bank-grade-crypto,Demystifying Bank-Grade Crypto,"As the volatile crypto market continues to grab headlines, the term ""bank-grade crypto"" im... Demystifying Bank-Grade Crypto",P3_short_summary_optional,optional_expand_if_material
xo5bc1,13,2026-05-09,www.coindesk.com,low,1,too_short_180,156,https://www.coindesk.com/business/2026/05/09/swiss-central-bank-bitcoin-reserve-push-fails-over-signature-shortfall,Swiss central bank bitcoin reserve push fails over signature shortfall,"The initiative sought to amend Switzerland's constitution, requiring the Swiss National Bank (SNB) to hold BTC alongside gold and foreign-currency reserves.",P3_short_summary_optional,optional_expand_if_material
9edctg,12,2026-05-10,crypto.news,low,1,too_short_180,150,https://crypto.news/sec-hint-sparks-prediction-market-etf-debate/,SEC hint sparks prediction market ETF debate,“Prediction market ETFs may launch soon” remains a claim to treat with caution because approval still depends on regulators and final product reviews.,P3_short_summary_optional,optional_expand_if_material
tzokxm,2,2026-05-11,coingeek.com,low,1,too_short_180,153,https://coingeek.com/poland-pm-revives-crypto-reform-after-zondacrypto-fallout/,Poland’s PM revives crypto reform after Zondacrypto fallout,Poland is eyeing a stricter crypto bill after the Zondacrypto exchange fraud and money laundering allegations sparked user withdrawal concerns nationwide,P3_short_summary_optional,optional_expand_if_material
uf75q0,1,2026-05-11,www.coindesk.com,low,1,too_short_180,153,https://www.coindesk.com/markets/2026/05/11/bitcoin-nasdaq-investors-are-celebrating-while-u-s-consumers-are-panicking,"Bitcoin, Nasdaq investors are celebrating, while U.S. consumers turn gloomy","Bitcoin and Nasdaq have rallied sharply, but U.S. consumer sentiment has fallen to historic lows, highlighting a widening Wall Street–Main Street divide.",P3_short_summary_optional,optional_expand_if_material
